date,host,type_instance,value
2022-02-20 17:32:00+00:00,10.95.161.205,slab_unrecl,971687253.3333334
2022-02-20 17:32:00+00:00,10.95.161.205,used,4301137920.0
2022-02-20 17:32:00+00:00,10.95.161.206,buffered,1134725802.6666667
2022-02-20 17:32:00+00:00,10.95.161.206,cached,9336382122.666666
2022-02-20 17:32:00+00:00,10.95.161.206,free,188225300480.0
2022-02-20 17:32:00+00:00,10.95.161.206,slab_recl,880769024.0
2022-02-20 17:32:00+00:00,10.95.161.206,slab_unrecl,787103744.0
2022-02-20 17:32:00+00:00,10.95.161.206,used,2371617450.6666665
2022-02-20 17:32:00+00:00,10.95.161.207,buffered,1805524992.0
2022-02-20 17:32:00+00:00,10.95.161.207,cached,26645037056.0
2022-02-20 17:32:00+00:00,10.95.161.207,free,163123528362.66666
2022-02-20 17:32:00+00:00,10.95.161.207,slab_recl,4290933418.6666665
2022-02-20 17:32:00+00:00,10.95.161.207,slab_unrecl,1436484266.6666667
2022-02-20 17:32:00+00:00,10.95.161.207,used,5434386432.0
2022-02-20 17:32:00+00:00,10.95.161.208,buffered,1220325376.0
2022-02-20 17:32:00+00:00,10.95.161.208,cached,180524796586.66666
2022-02-20 17:32:00+00:00,10.95.161.208,free,1371536725.3333333
2022-02-20 17:32:00+00:00,10.95.161.208,slab_recl,4656323925.333333
2022-02-20 17:32:00+00:00,10.95.161.208,slab_unrecl,487157760.0
2022-02-20 17:32:00+00:00,10.95.161.208,used,14475758250.666666
2022-02-20 17:32:00+00:00,10.95.161.209,buffered,1675632640.0
2022-02-20 17:32:00+00:00,10.95.161.209,cached,14046044160.0
2022-02-20 17:32:00+00:00,10.95.161.209,free,177985340757.33334
2022-02-20 17:32:00+00:00,10.95.161.209,slab_recl,3365015552.0
2022-02-20 17:32:00+00:00,10.95.161.209,slab_unrecl,1342448981.3333333
2022-02-20 17:32:00+00:00,10.95.161.209,used,4321416533.333333
2022-02-20 17:33:00+00:00,10.95.161.205,buffered,2249318400.0
2022-02-20 17:33:00+00:00,10.95.161.205,cached,40161653418.666664
2022-02-20 17:33:00+00:00,10.95.161.205,free,151375646720.0
2022-02-20 17:33:00+00:00,10.95.161.205,slab_recl,3672943274.6666665
2022-02-20 17:33:00+00:00,10.95.161.205,slab_unrecl,971758933.3333334
2022-02-20 17:33:00+00:00,10.95.161.205,used,4304573781.333333
2022-02-20 17:33:00+00:00,10.95.161.206,buffered,1134734677.3333333
2022-02-20 17:33:00+00:00,10.95.161.206,cached,9336262656.0
2022-02-20 17:33:00+00:00,10.95.161.206,free,188223152810.66666
2022-02-20 17:33:00+00:00,10.95.161.206,slab_recl,880951296.0
2022-02-20 17:33:00+00:00,10.95.161.206,slab_unrecl,787327658.6666666
2022-02-20 17:33:00+00:00,10.95.161.206,used,2373469525.3333335
2022-02-20 17:33:00+00:00,10.95.161.207,buffered,1805524992.0
2022-02-20 17:33:00+00:00,10.95.161.207,cached,26645561344.0
2022-02-20 17:33:00+00:00,10.95.161.207,free,163127599104.0
2022-02-20 17:33:00+00:00,10.95.161.207,slab_recl,4290945024.0
2022-02-20 17:33:00+00:00,10.95.161.207,slab_unrecl,1436510208.0
2022-02-20 17:33:00+00:00,10.95.161.207,used,5429753856.0
2022-02-20 17:33:00+00:00,10.95.161.208,buffered,1220348313.6
2022-02-20 17:33:00+00:00,10.95.161.208,cached,180524799590.4
2022-02-20 17:33:00+00:00,10.95.161.208,free,1369128140.8
2022-02-20 17:33:00+00:00,10.95.161.208,slab_recl,4656335257.6
2022-02-20 17:33:00+00:00,10.95.161.208,slab_unrecl,487208550.4
2022-02-20 17:33:00+00:00,10.95.161.208,used,14478078771.2
2022-02-20 17:33:00+00:00,10.95.161.209,buffered,1675632640.0
2022-02-20 17:33:00+00:00,10.95.161.209,cached,14046046208.0
2022-02-20 17:33:00+00:00,10.95.161.209,free,177987758762.66666
2022-02-20 17:33:00+00:00,10.95.161.209,slab_recl,3364794368.0
2022-02-20 17:33:00+00:00,10.95.161.209,slab_unrecl,1342901589.3333333
2022-02-20 17:33:00+00:00,10.95.161.209,used,4318765056.0
2022-02-20 17:34:00+00:00,10.95.161.205,buffered,2249318400.0
2022-02-20 17:34:00+00:00,10.95.161.205,cached,40163656362.666664
2022-02-20 17:34:00+00:00,10.95.161.205,free,151375761408.0
2022-02-20 17:34:00+00:00,10.95.161.205,slab_recl,3673208149.3333335
2022-02-20 17:34:00+00:00,10.95.161.205,slab_unrecl,971583488.0
2022-02-20 17:34:00+00:00,10.95.161.205,used,4302366720.0
2022-02-20 17:34:00+00:00,10.95.161.206,buffered,1134740821.3333333
2022-02-20 17:34:00+00:00,10.95.161.206,cached,9336353450.666666
2022-02-20 17:34:00+00:00,10.95.161.206,free,188226189312.0
2022-02-20 17:34:00+00:00,10.95.161.206,slab_recl,880966997.3333334
2022-02-20 17:34:00+00:00,10.95.161.206,slab_unrecl,787455317.3333334
2022-02-20 17:34:00+00:00,10.95.161.206,used,2370192725.3333335
2022-02-20 17:34:00+00:00,10.95.161.207,buffered,1805524992.0
2022-02-20 17:34:00+00:00,10.95.161.207,cached,26646121813.333332
